ProductKey,Product,Categories,ProductName
135,OFF-BI-10001072,Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
136,OFF-AR-10002804,Office Supplies,Faber Castell Col-Erase Pencils
137,FUR-FU-10001918,Furniture,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
138,FUR-FU-10001588,Furniture,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
139,TEC-PH-10002398,Technology,AT&T 1070 Corded Phone
140,OFF-AR-10003373,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670"
141,FUR-CH-10002602,Furniture,DMI Arturo Collection Mission-style Design Wood Chair
142,OFF-FA-10000624,Office Supplies,OIC Binder Clips
143,OFF-BI-10004593,Office Supplies,Ibico Laser Imprintable Binding System Covers
144,FUR-FU-10001967,Furniture,Telescoping Adjustable Floor Lamp
145,TEC-PH-10003645,Technology,Aastra 57i VoIP phone
146,TEC-PH-10004614,Technology,AT&T 841000 Phone
147,OFF-BI-10001922,Office Supplies,Storex Dura Pro Binders
148,OFF-BI-10003314,Office Supplies,Tuff Stuff Recycled Round Ring Binders
149,OFF-FA-10000490,Office Supplies,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
150,OFF-AR-10000122,Office Supplies,Newell 314
151,OFF-AR-10004027,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
152,FUR-BO-10002268,Furniture,Sauder Barrister Bookcases
153,OFF-AP-10001124,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
154,OFF-LA-10001158,Office Supplies,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
155,OFF-BI-10002412,Office Supplies,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders
156,OFF-PA-10002036,Office Supplies,Xerox 1930
157,OFF-BI-10001982,Office Supplies,Wilson Jones Custom Binder Spines & Labels
158,OFF-PA-10003039,Office Supplies,Xerox 1960
159,FUR-TA-10004915,Furniture,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D"
160,OFF-AP-10000696,Office Supplies,Holmes Odor Grabber
161,OFF-PA-10004734,Office Supplies,Southworth Structures Collection
162,TEC-AC-10004708,Technology,Sony 32GB Class 10 Micro SDHC R40 Memory Card
163,FUR-TA-10000617,Furniture,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
164,TEC-MA-10001681,Technology,Lexmark MarkNet N8150 Wireless Print Server
165,OFF-AR-10004757,Office Supplies,Crayola Colored Pencils
166,OFF-BI-10000050,Office Supplies,"Angle-D Binders with Locking Rings, Label Holders"
167,TEC-PH-10003012,Technology,Nortel Meridian M3904 Professional Digital phone
168,OFF-BI-10003982,Office Supplies,Wilson Jones Century Plastic Molded Ring Binders
169,OFF-BI-10004492,Office Supplies,Tuf-Vin Binders
170,OFF-ST-10000798,Office Supplies,2300 Heavy-Duty Transfer File Systems by Perma
171,OFF-SU-10002573,Office Supplies,Acme 10" Easy Grip Assistive Scissors
172,OFF-ST-10001580,Office Supplies,Super Decoflex Portable Personal File
173,OFF-PA-10001947,Office Supplies,Xerox 1974
174,OFF-AR-10003478,Office Supplies,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
175,OFF-AP-10004249,Office Supplies,Staple holder
176,TEC-AC-10000158,Technology,Sony 64GB Class 10 Micro SDHC R40 Memory Card
177,OFF-PA-10000157,Office Supplies,Xerox 191
178,OFF-AR-10004344,Office Supplies,Bulldog Vacuum Base Pencil Sharpener
179,FUR-CH-10004886,Furniture,Bevis Steel Folding Chairs
180,OFF-PA-10003845,Office Supplies,Xerox 1987
181,OFF-AR-10001573,Office Supplies,American Pencil
182,TEC-AC-10004114,Technology,KeyTronic 6101 Series - Keyboard - Black
183,FUR-FU-10004712,Furniture,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black"
184,FUR-CH-10000015,Furniture,Hon Multipurpose Stacking Arm Chairs
185,FUR-FU-10003347,Furniture,Coloredge Poster Frame
186,TEC-MA-10000029,Technology,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner"
187,OFF-AR-10000369,Office Supplies,Design Ebony Sketching Pencil
188,OFF-BI-10004584,Office Supplies,GBC ProClick 150 Presentation Binding System
189,OFF-ST-10003306,Office Supplies,Letter Size Cart
190,OFF-BI-10000773,Office Supplies,Insertable Tab Post Binder Dividers
191,TEC-MA-10002937,Technology,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner"
192,OFF-PA-10002230,Office Supplies,Xerox 1897
193,FUR-CH-10003396,Furniture,Global Deluxe Steno Chair
194,FUR-FU-10000246,Furniture,Aluminum Document Frame
195,FUR-FU-10000206,Furniture,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs"
196,OFF-AR-10000588,Office Supplies,Newell 345
197,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables
198,TEC-AC-10001772,Technology,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive
199,FUR-CH-10000225,Furniture,"Global Geo Office Task Chair, Gray"
200,FUR-CH-10002331,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
201,OFF-AP-10002472,Office Supplies,3M Office Air Cleaner
202,FUR-FU-10000023,Furniture,Eldon Wave Desk Accessories
203,FUR-FU-10002918,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
204,FUR-BO-10002824,Furniture,Bush Mission Pointe Library
205,OFF-BI-10002194,Office Supplies,Cardinal Hold-It CD Pocket
206,OFF-PA-10004071,Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box"
207,OFF-ST-10002743,Office Supplies,SAFCO Boltless Steel Shelving
208,TEC-PH-10000149,Technology,Cisco SPA525G2 IP Phone - Wireless
209,OFF-AR-10003045,Office Supplies,Prang Colored Pencils
210,TEC-AC-10001445,Technology,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink
211,OFF-LA-10003923,Office Supplies,Alphabetical Labels for Top Tab Filing
212,TEC-PH-10001363,Technology,Apple iPhone 5S
213,TEC-PH-10000376,Technology,Square Credit Card Reader
214,OFF-ST-10001809,Office Supplies,Fellowes Officeware Wire Shelving
215,TEC-AC-10000991,Technology,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive
216,FUR-TA-10001857,Furniture,Balt Solid Wood Rectangular Table
217,OFF-EN-10001434,Office Supplies,"Strathmore #10 Envelopes, Ultimate White"
218,OFF-BI-10002498,Office Supplies,Clear Mylar Reinforcing Strips
219,OFF-BI-10001670,Office Supplies,Vinyl Sectional Post Binders
220,OFF-AR-10001662,Office Supplies,Rogers Handheld Barrel Pencil Sharpener
221,FUR-FU-10001290,Furniture,Executive Impressions Supervisor Wall Clock
222,OFF-AR-10003811,Office Supplies,Newell 327
223,TEC-CO-10003236,Technology,Canon Image Class D660 Copier
224,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset
225,OFF-FA-10002815,Office Supplies,Staples
226,FUR-CH-10003379,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs
227,OFF-ST-10004963,Office Supplies,Eldon Gobal File Keepers
228,FUR-CH-10000595,Furniture,Safco Contoured Stacking Chairs
229,FUR-FU-10000448,Furniture,Tenex Chairmats For Use With Carpeted Floors
230,TEC-PH-10000984,Technology,Panasonic KX-TG9471B
231,OFF-ST-10001325,Office Supplies,Sterilite Officeware Hinged File Box
232,OFF-BI-10002429,Office Supplies,"Premier Elliptical Ring Binder, Black"
233,OFF-BI-10004528,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders
234,OFF-AP-10001271,Office Supplies,Eureka The Boss Cordless Rechargeable Stick Vac
235,TEC-AC-10001432,Technology,Enermax Aurora Lite Keyboard
236,TEC-PH-10002262,Technology,LG Electronics Tone+ HBS-730 Bluetooth Headset
237,TEC-AC-10001465,Technology,SanDisk Cruzer 64 GB USB Flash Drive
238,OFF-BI-10000404,Office Supplies,Avery Printable Repositionable Plastic Tabs
239,FUR-CH-10002024,Furniture,HON 5400 Series Task Chairs for Big and Tall
240,FUR-FU-10003039,Furniture,Howard Miller 11-1/2" Diameter Grantwood Wall Clock
241,OFF-FA-10004248,Office Supplies,Advantus T-Pin Paper Clips
242,OFF-ST-10001780,Office Supplies,Tennsco 16-Compartment Lockers with Coat Rack
243,OFF-AR-10003560,Office Supplies,Zebra Zazzle Fluorescent Highlighters
244,OFF-LA-10001297,Office Supplies,Avery 473
245,OFF-AP-10003914,Office Supplies,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts"
246,OFF-FA-10003467,Office Supplies,"Alliance Big Bands Rubber Bands, 12/Pack"
247,TEC-PH-10002496,Technology,Cisco SPA301
248,OFF-PA-10004530,Office Supplies,Personal Creations Ink Jet Cards and Labels
249,OFF-AR-10003394,Office Supplies,Newell 332
250,OFF-ST-10002974,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black"
251,OFF-SU-10004498,Office Supplies,Martin-Yale Premier Letter Opener
252,FUR-CH-10003956,Furniture,Novimex High-Tech Fabric Mesh Task Chair
253,TEC-PH-10003800,Technology,i.Sound Portable Power - 8000 mAh
254,OFF-AR-10004078,Office Supplies,Newell 312
255,OFF-AP-10004708,Office Supplies,Fellowes Superior 10 Outlet Split Surge Protector
256,OFF-SU-10004115,Office Supplies,Acme Stainless Steel Office Snips
257,TEC-PH-10001425,Technology,Mophie Juice Pack Helium for iPhone
258,OFF-ST-10001490,Office Supplies,"Hot File 7-Pocket, Floor Stand"
259,OFF-BI-10000848,Office Supplies,Angle-D Ring Binders
260,OFF-PA-10001204,Office Supplies,Xerox 1972
261,TEC-PH-10000011,Technology,PureGear Roll-On Screen Protector
262,FUR-FU-10003849,Furniture,"DAX Metal Frame, Desktop, Stepped-Edge"
263,OFF-BI-10002103,Office Supplies,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
264,FUR-CH-10004853,Furniture,"Global Manager's Adjustable Task Chair, Storm"
265,FUR-FU-10000221,Furniture,"Master Caster Door Stop, Brown"
266,OFF-AP-10001563,Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector
267,OFF-BI-10000605,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
268,OFF-ST-10001963,Office Supplies,Tennsco Regal Shelving Units
269,TEC-AC-10002857,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack"
270,FUR-CH-10001482,Furniture,Office Star - Mesh Screen back chair with Vinyl seat
271,OFF-BI-10001989,Office Supplies,Premium Transparent Presentation Covers by GBC
272,FUR-FU-10000576,Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
273,FUR-FU-10000732,Furniture,Eldon 200 Class Desk Accessories
274,OFF-ST-10000585,Office Supplies,Economy Rollaway Files
275,TEC-AC-10003832,Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive
276,OFF-PA-10001934,Office Supplies,Xerox 1993
277,OFF-AP-10002457,Office Supplies,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red"
278,OFF-FA-10003112,Office Supplies,Staples
279,FUR-FU-10001935,Furniture,3M Hangers With Command Adhesive
280,OFF-PA-10003892,Office Supplies,Xerox 1943
281,OFF-AP-10002439,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge
282,FUR-CH-10001215,Furniture,Global Troy Executive Leather Low-Back Tilter
283,OFF-ST-10001522,Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
284,OFF-SU-10004231,Office Supplies,Acme Tagit Stainless Steel Antibacterial Scissors
285,FUR-FU-10003096,Furniture,"Master Giant Foot Doorstop, Safety Yellow"
286,FUR-FU-10002759,Furniture,12-1/2 Diameter Round Wall Clock
287,OFF-AR-10001954,Office Supplies,Newell 331
288,OFF-AP-10004532,Office Supplies,Kensington 6 Outlet Guardian Standard Surge Protector
289,OFF-AP-10000804,Office Supplies,Hoover Portapower Portable Vacuum
290,OFF-BI-10003305,Office Supplies,Avery Hanging File Binders
291,TEC-MA-10004125,Technology,Cubify CubeX 3D Printer Triple Head Print
292,TEC-AC-10003911,Technology,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router
293,FUR-BO-10004015,Furniture,"Bush Andora Bookcase, Maple/Graphite Gray Finish"
294,FUR-FU-10004071,Furniture,Luxo Professional Magnifying Clamp-On Fluorescent Lamps
295,TEC-AC-10002253,Technology,Imation Bio 8GB USB Flash Drive Imation Corp
296,FUR-FU-10003394,Furniture,Tenex "The Solids" Textured Chair Mats
297,FUR-TA-10002774,Furniture,Laminate Occasional Tables
298,OFF-PA-10001800,Office Supplies,Xerox 220
299,OFF-EN-10001219,Office Supplies,#10- 4 1/8" x 9 1/2" Security-Tint Envelopes
300,OFF-AP-10001154,Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer
301,OFF-BI-10003355,Office Supplies,Cardinal Holdit Business Card Pockets
302,FUR-FU-10000010,Furniture,"DAX Value U-Channel Document Frames, Easel Back"
303,FUR-FU-10002253,Furniture,Howard Miller 13" Diameter Pewter Finish Round Wall Clock
304,OFF-BI-10001658,Office Supplies,GBC Standard Therm-A-Bind Covers
305,OFF-PA-10004092,Office Supplies,Tops Green Bar Computer Printout Paper
306,FUR-TA-10000198,Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases
307,FUR-FU-10000222,Furniture,Seth Thomas 16" Steel Case Clock
308,OFF-SU-10004664,Office Supplies,Acme Softgrip Scissors
309,OFF-EN-10001141,Office Supplies,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9"""
310,OFF-PA-10001954,Office Supplies,Xerox 1964
311,OFF-ST-10000736,Office Supplies,Carina Double Wide Media Storage Towers in Natural & Black
312,TEC-AC-10001383,Technology,Logitech Wireless Touch Keyboard K400
313,OFF-LA-10003223,Office Supplies,Avery 508
314,FUR-TA-10002607,Furniture,KI Conference Tables
315,TEC-PH-10000004,Technology,Belkin iPhone and iPad Lightning Cable
316,OFF-BI-10003638,Office Supplies,GBC Durable Plastic Covers
317,TEC-CO-10002095,Technology,Hewlett Packard 610 Color Digital Copier / Printer
318,FUR-TA-10001095,Furniture,Chromcraft Round Conference Tables
319,OFF-ST-10002444,Office Supplies,Recycled Eldon Regeneration Jumbo File
320,OFF-PA-10002377,Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages"
321,OFF-PA-10003441,Office Supplies,Xerox 226
322,OFF-LA-10004484,Office Supplies,Avery 476
323,TEC-PH-10003931,Technology,JBL Micro Wireless Portable Bluetooth Speaker
324,FUR-FU-10004306,Furniture,Electrix Halogen Magnifier Lamp
325,FUR-CH-10003746,Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs
326,OFF-BI-10001036,Office Supplies,Cardinal EasyOpen D-Ring Binders
327,OFF-AR-10003405,Office Supplies,"Dixon My First Ticonderoga Pencil, #2"
328,FUR-CH-10002335,Furniture,Hon GuestStacker Chair
329,OFF-BI-10001098,Office Supplies,Acco D-Ring Binder w/DublLock
330,OFF-EN-10000056,Office Supplies,Cameo Buff Policy Envelopes
331,OFF-BI-10000014,Office Supplies,Heavy-Duty E-Z-D Binders
332,FUR-CH-10004675,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton"
333,OFF-BI-10001543,Office Supplies,GBC VeloBinder Manual Binding System
334,TEC-PH-10001530,Technology,Cisco Unified IP Phone 7945G VoIP phone
335,OFF-LA-10001569,Office Supplies,Avery 499
336,OFF-BI-10000546,Office Supplies,Avery Durable Binders
337,OFF-PA-10000176,Office Supplies,Xerox 1887
338,FUR-CH-10002647,Furniture,"Situations Contoured Folding Chairs, 4/Set"
339,FUR-FU-10004090,Furniture,Executive Impressions 14" Contract Wall Clock
340,OFF-AP-10000576,Office Supplies,Belkin 7 Outlet SurgeMaster II
341,OFF-PA-10003953,Office Supplies,Xerox 218
342,FUR-FU-10000794,Furniture,"Eldon Stackable Tray, Side-Load, Legal, Smoke"
343,OFF-AR-10001897,Office Supplies,Model L Table or Wall-Mount Pencil Sharpener
344,OFF-AR-10003190,Office Supplies,Newell 32
345,OFF-PA-10000061,Office Supplies,Xerox 205
346,OFF-PA-10003651,Office Supplies,Xerox 1968
347,OFF-PA-10000304,Office Supplies,Xerox 1995
